Name,API Name,Memory,Compute Units (ECU),vCPUs,GPUs,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Max Bandwidth,EBS Optimized: Throughput,EBS Optimized: Max 16K IOPS,EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,VPC Only,IPv6 Support,Placement Group Support,Linux Virtualization,On EMR,Linux On Demand cost,Linux Reserved cost,RHEL On Demand cost,RHEL Reserved cost,SLES On Demand cost,SLES Reserved cost,Windows On Demand cost,Windows Reserved cost,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,EBS Optimized surcharge,EMR cost,Storage,Burstable,Model Type,Category,StorageType
A1 Medium,a1.medium,2,0,1,0,0,0,AWS Graviton Processor,2.3 GHz,unknown,unknown,unknown,EBS only,N/A,N/A,64-bit,Up to 10 Gigabit,3500.0 Mbps,437.5 MB/s,20000.0 IOPS,Yes,8,2,Yes,Yes,Yes,No,Unknown,No,NA,NA,0.0855,0.0761,0.0565,0.0291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,A1,General,EBS
T3A Extra Large,t3a.xlarge,16,NA,4,0,0,NA,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,EBS only,N/A,N/A,64-bit,Moderate,2048.0 Mbps,256.0 MB/s,15700.0 IOPS,Yes,60,4,Yes,Yes,Yes,No,Unknown,No,NA,NA,0.2104,0.1543,0.2754,0.1443,NA,NA,0.2916,0.2355,0.704,0.6479,1.724,1.6679,0.218,0.1619,0.6304,0.5743,1.6504,1.5943,NA,NA,NA,TRUE,T3A,General,EBS
R4 High-Memory 16xlarge,r4.16xlarge,488,195,64,0,0,3.047,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,20 Gigabit,14000.0 Mbps,1750.0 MB/s,75000.0 IOPS,No,750,15,Yes,Yes,Yes,No,HVM,Yes,4.992,3.1584,4.386,2.818,4.356,2.721,7.936,6.1024,8.327,6.759,14.88,13.312,31.2,29.632,5.3376,3.7696,11.936,10.368,28.256,26.688,NA,0.27,NA,FALSE,R4,Memory,EBS
T2 Large,t2.large,8,NA,2,0,0,NA,Intel Xeon Family,Up to 3.0 GHz,Yes,unknown,Yes,EBS only,N/A,N/A,64-bit,Low to Moderate,N/A,0 MB/s,0 IOPS,No,36,3,No,Yes,Yes,No,HVM,No,0.1056,0.0727,0.1528,0.1175,0.1928,0.0905,0.1336,0.1007,0.1918,0.1565,NA,NA,NA,NA,0.1604,0.1251,NA,NA,NA,NA,NA,NA,NA,TRUE,T2,General,EBS
M5A 24xlarge,m5a.24xlarge,384,0,96,0,0,0,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,EBS only,N/A,N/A,64-bit,20 Gigabit,10000.0 Mbps,1250.0 MB/s,60000.0 IOPS,Yes,750,15,Yes,Yes,Yes,No,Unknown,Yes,NA,NA,4.258,2.757,4.278,2.687,NA,NA,10.166,8.665,20.064,18.563,44.544,43.043,5.75,4.249,15.648,14.147,40.128,38.627,NA,0.27,NA,FALSE,M5A,General,EBS
C4 High-CPU Eight Extra Large,c4.8xlarge,60,132,36,0,0,3.667,Intel Xeon E5-2666 v3 (Haswell),2.9 GHz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,10 Gigabit,4000.0 Mbps,500.0 MB/s,32000.0 IOPS,No,240,8,Yes,Yes,Yes,No,HVM,Yes,1.902,1.31,1.721,1.138,1.691,1.041,3.558,2.966,3.881,3.154,12.485,8.407,16.747,16.164,2.208,1.616,5.92,5.328,15.1,14.508,0,0.27,NA,FALSE,C4,Compute,EBS
T3 Micro,t3.micro,1,NA,2,0,0,NA,Intel Skylake E5 2686 v5 (2.5 GHz),unknown,unknown,unknown,unknown,EBS only,N/A,N/A,64-bit,Low to Moderate,1536.0 Mbps,192.0 MB/s,11800.0 IOPS,Yes,4,2,No,Yes,Yes,No,Unknown,No,0.0118,0.0083,0.0704,0.0665,0.0104,0.0105,0.021,0.0175,0.0872,0.0833,NA,NA,NA,NA,0.078,0.0741,NA,NA,NA,NA,NA,NA,NA,TRUE,T3,General,EBS
R4 High-Memory Eight Extra Large,r4.8xlarge,244,99,32,0,0,3.094,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,10 Gigabit,7000.0 Mbps,875.0 MB/s,37500.0 IOPS,No,240,8,Yes,Yes,Yes,No,HVM,Yes,2.496,1.5792,2.258,1.474,2.228,1.377,3.968,3.0512,4.164,3.38,7.44,6.656,15.6,14.816,2.6688,1.8848,5.968,5.184,14.128,13.344,NA,0.27,NA,FALSE,R4,Memory,EBS
H1 Quadruple Extra Large,h1.4xlarge,64,53.5,16,0,0,3.344,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,Yes,4000 GiB               (2 * 2000 GiB HDD),Yes,N/A,64-bit,Up to 10 Gigabit,3500.0 Mbps,437.5 MB/s,20000.0 IOPS,No,240,8,Yes,Yes,Yes,No,HVM,Yes,NA,NA,1.066,0.766,1.036,0.669,NA,NA,1.942,1.643,3.592,3.292,7.672,7.372,1.206,0.907,2.856,2.556,6.936,6.636,NA,0.234,4000,FALSE,H1,Storage,HDD
C5N 18xlarge,c5n.18xlarge,192,0,72,0,0,0,Intel Xeon Platinum 8124M,3.0 Ghz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,100 Gigabit,14000.0 Mbps,1750.0 MB/s,80000.0 IOPS,Yes,750,15,Yes,Yes,Yes,No,Unknown,Yes,NA,NA,4.018,2.579,4.038,2.509,NA,NA,8.417,6.978,15.84,14.401,34.2,32.761,5.105,3.666,12.528,11.089,30.888,29.449,NA,0.27,NA,FALSE,C5N,Compute,EBS
C5N 9xlarge,c5n.9xlarge,96,0,36,0,0,0,Intel Xeon Platinum 8124M,3.0 Ghz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,50 Gigabit,7000.0 Mbps,875.0 MB/s,40000.0 IOPS,Yes,240,8,Yes,Yes,Yes,No,Unknown,Yes,NA,NA,2.074,1.355,2.094,1.285,NA,NA,4.208,3.489,7.92,7.201,17.1,16.381,2.552,1.833,6.264,5.545,15.444,14.725,NA,0.27,NA,FALSE,C5N,Compute,EBS
T3 Small,t3.small,2,NA,2,0,0,NA,Intel Skylake E5 2686 v5 (2.5 GHz),unknown,unknown,unknown,unknown,EBS only,N/A,N/A,64-bit,Low to Moderate,1536.0 Mbps,192.0 MB/s,11800.0 IOPS,Yes,12,3,No,Yes,Yes,No,Unknown,No,0.0236,0.0167,0.0808,0.073,0.0518,0.026,0.042,0.0351,0.1068,0.099,NA,NA,NA,NA,0.0884,0.0806,NA,NA,NA,NA,NA,NA,NA,TRUE,T3,General,EBS
M4 General Purpose Large,m4.large,8,6.5,2,0,0,3.25,Intel Xeon E5-2676 v3 (Haswell),2.4 GHz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,Moderate,450.0 Mbps,56.25 MB/s,3600.0 IOPS,No,20,2,Yes,Yes,Yes,No,HVM,Yes,0.116,0.0787,0.16,0.122,0.2,0.095,0.208,0.1707,0.24,0.194,0.672,0.634,NA,NA,0.1676,0.1296,0.58,0.542,NA,NA,0,0.03,NA,FALSE,M4,General,EBS
C5 High-CPU Large,c5.large,4,9,2,0,0,4.5,Intel Xeon Platinum 8124M,3.0 Ghz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,Up to 10 Gigabit,3500.0 Mbps,437.5 MB/s,20000.0 IOPS,Yes,30,3,Yes,Yes,Yes,No,HVM,No,0.101,0.069,0.145,0.114,0.185,0.087,0.193,0.161,0.245,0.213,0.657,0.626,NA,NA,0.153,0.121,0.565,0.534,NA,NA,0,NA,NA,FALSE,C5,Compute,EBS
C5N Double Extra Large,c5n.2xlarge,21,0,8,0,0,0,Intel Xeon Platinum 8124M,3.0 Ghz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,Up to 25 Gigabit,3500.0 Mbps,437.5 MB/s,20000.0 IOPS,Yes,60,4,Yes,Yes,Yes,No,Unknown,Yes,NA,NA,0.562,0.402,0.582,0.332,NA,NA,0.935,0.775,1.76,1.6,3.8,3.64,0.567,0.407,1.392,1.232,3.432,3.272,NA,0.108,NA,FALSE,C5N,Compute,EBS
D2 Quadruple Extra Large,d2.4xlarge,122,56,16,0,0,3.5,Intel Xeon E5-2676v3 (Haswell),2.4 GHz,Yes,Yes,Yes,24000 GiB               (12 * 2000 GiB HDD),Yes,N/A,64-bit,High,2000.0 Mbps,250.0 MB/s,16000.0 IOPS,No,240,8,Yes,No,Yes,No,HVM,Yes,3.087,1.877,2.89,1.738,2.86,1.645,3.823,2.613,NA,NA,NA,NA,9.496,8.346,NA,NA,NA,NA,8.76,7.449,0,0.27,24000,FALSE,D2,Storage,HDD
T2 Extra Large,t2.xlarge,16,NA,4,0,0,NA,Intel Xeon Family,Up to 3.0 GHz,Yes,unknown,Yes,EBS only,N/A,N/A,64-bit,Moderate,N/A,0 MB/s,0 IOPS,No,45,3,No,Yes,Yes,No,HVM,No,0.2112,0.1454,0.2456,0.175,0.2856,0.148,0.2522,0.1864,0.298,0.2274,NA,NA,1.7266,1.656,0.2532,0.1826,NA,NA,1.6856,1.615,NA,NA,NA,TRUE,T2,General,EBS
D2 Eight Extra Large,d2.8xlarge,244,116,36,0,0,3.222,Intel Xeon E5-2676v3 (Haswell),2.4 GHz,Yes,Yes,Yes,48000 GiB               (24 * 2000 GiB HDD),Yes,N/A,64-bit,10 Gigabit,4000.0 Mbps,500.0 MB/s,32000.0 IOPS,No,240,8,Yes,No,Yes,No,HVM,Yes,6.174,3.753,5.65,3.346,5.62,3.253,7.83,5.409,NA,NA,NA,NA,20.676,18.375,NA,NA,NA,NA,19.02,16.398,0,0.27,48000,FALSE,D2,Storage,HDD
T3A Micro,t3a.micro,1,NA,2,0,0,NA,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,EBS only,N/A,N/A,64-bit,Low to Moderate,1536.0 Mbps,192.0 MB/s,11800.0 IOPS,Yes,4,2,Yes,Yes,Yes,No,Unknown,No,NA,NA,0.0694,0.0659,0.0094,0.0099,NA,NA,0.0862,0.0827,NA,NA,NA,NA,0.077,0.0735,NA,NA,NA,NA,NA,NA,NA,TRUE,T3A,General,EBS
C1 High-CPU Extra Large,c1.xlarge,7,20,8,0,0,2.5,Intel Xeon Family,unknown,unknown,unknown,unknown,1680 GiB               (4 * 420 GiB HDD),No,N/A,64-bit,High,N/A,0 MB/s,0 IOPS,No,60,4,No,No,No,No,PV,Yes,NA,NA,0.65,0.494,0.62,0.4,NA,NA,1.16,0.793,2.124,1.537,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,1680,FALSE,C1,Compute,HDD
U-6TB1 Metal,u-6tb1.metal,6144,0,448,0,0,0,Intel Xeon Scalable (Skylake) processors,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,64-bit,25 Gigabit,14000.0 Mbps,1750.0 MB/s,80000.0 IOPS,No,150,5,No,Yes,Yes,No,Unknown,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,UTB1,Memory,EBS
T2 Medium,t2.medium,4,NA,2,0,0,NA,Intel Xeon Family,Up to 3.3 GHz,Yes,unknown,Yes,EBS only,N/A,N/A,32/64-bit,Low to Moderate,N/A,0 MB/s,0 IOPS,No,18,3,No,Yes,Yes,No,HVM,No,0.052,0.0363,0.1064,0.0887,0.1464,0.0617,0.0704,0.0543,0.1358,0.1181,NA,NA,NA,NA,0.114,0.0963,NA,NA,NA,NA,NA,NA,NA,TRUE,T2,General,EBS
C5 High-CPU Extra Large,c5.xlarge,8,17,4,0,0,4.25,Intel Xeon Platinum 8124M,3.0 Ghz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,Up to 10 Gigabit,3500.0 Mbps,437.5 MB/s,20000.0 IOPS,Yes,60,4,Yes,Yes,Yes,No,HVM,Yes,0.202,0.139,0.23,0.167,0.27,0.14,0.386,0.323,0.422,0.359,0.834,0.771,1.854,1.791,0.238,0.175,0.65,0.587,1.67,1.607,0,0.043,NA,FALSE,C5,Compute,EBS
T3 Double Extra Large,t3.2xlarge,32,NA,8,0,0,NA,Intel Skylake E5 2686 v5 (2.5 GHz),unknown,unknown,unknown,unknown,EBS only,N/A,N/A,64-bit,Moderate,2048.0 Mbps,256.0 MB/s,15700.0 IOPS,Yes,60,4,No,Yes,Yes,No,Unknown,No,0.3776,0.2667,0.4628,0.3386,0.4828,0.2686,0.5248,0.4139,0.6152,0.491,1.44,1.3158,3.48,3.3558,0.468,0.3438,1.2928,1.1686,3.3328,3.2086,NA,NA,NA,TRUE,T3,General,EBS
R4 High-Memory Extra Large,r4.xlarge,30.5,13.5,4,0,0,3.375,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,Up to 10 Gigabit,850.0 Mbps,106.25 MB/s,6000.0 IOPS,No,60,4,Yes,Yes,Yes,No,HVM,Yes,0.312,0.1974,0.396,0.228,0.366,0.201,0.496,0.3814,0.521,0.423,0.93,0.832,1.95,1.852,0.3336,0.2356,0.746,0.648,1.766,1.668,NA,0.067,NA,FALSE,R4,Memory,EBS
T3 Extra Large,t3.xlarge,16,NA,4,0,0,NA,Intel Skylake E5 2686 v5 (2.5 GHz),unknown,unknown,unknown,unknown,EBS only,N/A,N/A,64-bit,Moderate,2048.0 Mbps,256.0 MB/s,15700.0 IOPS,Yes,60,4,No,Yes,Yes,No,Unknown,No,0.1888,0.1334,0.2264,0.1643,0.2914,0.1543,0.2624,0.207,0.3076,0.2455,0.72,0.6579,1.74,1.6779,0.234,0.1719,0.6464,0.5843,1.6664,1.6043,NA,NA,NA,TRUE,T3,General,EBS
M5A Double Extra Large,m5a.2xlarge,32,0,8,0,0,0,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,EBS only,N/A,N/A,64-bit,Up to 10 Gigabit,2120.0 Mbps,265.0 MB/s,16000.0 IOPS,Yes,60,4,Yes,Yes,Yes,No,Unknown,Yes,NA,NA,0.474,0.349,0.494,0.279,NA,NA,0.847,0.722,1.672,1.547,3.712,3.587,0.479,0.354,1.304,1.179,3.344,3.219,NA,0.086,NA,FALSE,M5A,General,EBS
M4 General Purpose Double Extra Large,m4.2xlarge,32,26,8,0,0,3.25,Intel Xeon E5-2676 v3 (Haswell),2.4 GHz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,High,1000.0 Mbps,125.0 MB/s,8000.0 IOPS,No,60,4,Yes,Yes,Yes,No,HVM,Yes,0.464,0.315,0.53,0.3778,0.5,0.2808,0.832,0.683,0.9,0.689,1.728,1.5758,3.768,3.6158,0.5352,0.383,1.36,1.2078,3.4,3.2478,0,0.12,NA,FALSE,M4,General,EBS
U-9TB1 Metal,u-9tb1.metal,9216,0,448,0,0,0,Intel Xeon Scalable (Skylake) processors,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,64-bit,25 Gigabit,14000.0 Mbps,1750.0 MB/s,80000.0 IOPS,No,150,5,No,Yes,Yes,No,Unknown,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,UTB1,Memory,EBS
T3A Double Extra Large,t3a.2xlarge,32,NA,8,0,0,NA,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,EBS only,N/A,N/A,64-bit,Moderate,2048.0 Mbps,256.0 MB/s,15700.0 IOPS,Yes,60,4,Yes,Yes,Yes,No,Unknown,No,NA,NA,0.4308,0.3186,0.4508,0.2486,NA,NA,0.5832,0.471,1.408,1.2958,3.448,3.3358,0.436,0.3238,1.2608,1.1486,3.3008,3.1886,NA,NA,NA,TRUE,T3A,General,EBS
D2 Double Extra Large,d2.2xlarge,61,28,8,0,0,3.5,Intel Xeon E5-2676v3 (Haswell),2.4 GHz,Yes,Yes,Yes,12000 GiB               (6 * 2000 GiB HDD),Yes,N/A,64-bit,High,1000.0 Mbps,125.0 MB/s,8000.0 IOPS,No,60,4,Yes,No,Yes,No,HVM,Yes,1.544,0.938,1.51,0.934,1.48,0.841,1.912,1.306,NA,NA,NA,NA,4.748,4.173,NA,NA,NA,NA,4.38,3.725,0,0.27,12000,FALSE,D2,Storage,HDD
M5A Extra Large,m5a.xlarge,16,0,4,0,0,0,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,EBS only,N/A,N/A,64-bit,Up to 10 Gigabit,2120.0 Mbps,265.0 MB/s,16000.0 IOPS,Yes,60,4,Yes,Yes,Yes,No,Unknown,Yes,NA,NA,0.232,0.169,0.297,0.159,NA,NA,0.424,0.361,0.836,0.773,1.856,1.793,0.24,0.177,0.652,0.589,1.672,1.609,NA,0.043,NA,FALSE,M5A,General,EBS
M5A 12xlarge,m5a.12xlarge,192,0,48,0,0,0,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,EBS only,N/A,N/A,64-bit,10 Gigabit,5000.0 Mbps,625.0 MB/s,30000.0 IOPS,Yes,240,8,Yes,Yes,Yes,No,Unknown,Yes,NA,NA,2.194,1.443,2.214,1.373,NA,NA,5.083,4.333,10.032,9.281,22.272,21.521,2.875,2.125,7.824,7.073,20.064,19.313,NA,0.27,NA,FALSE,M5A,General,EBS
M5 General Purpose 24xlarge,m5.24xlarge,384,345,96,0,0,3.594,Intel Xeon Platinum 8175,2.5 GHz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,25 Gigabit,14000.0 Mbps,1750.0 MB/s,80000.0 IOPS,Yes,750,15,Yes,Yes,Yes,No,HVM,Yes,5.328,3.73,4.738,3.074,4.708,2.977,9.744,8.146,10.646,8.982,20.544,18.88,45.024,43.36,6.23,4.566,16.128,14.464,40.608,38.944,NA,0.27,NA,FALSE,M5,General,EBS
C5 High-CPU 12xlarge,c5.12xlarge,96,188,48,0,0,3.917,Intel Xeon Platinum 8275L,3.0 Ghz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,12 Gigabit,7000.0 Mbps,875.0 MB/s,40000.0 IOPS,Yes,240,8,Yes,Yes,Yes,No,HVM,No,2.424,1.667,2.17,1.415,2.14,1.318,4.632,3.875,5.059,4.304,10.008,9.253,22.248,21.493,2.851,2.096,7.8,7.045,20.04,19.285,NA,NA,NA,FALSE,C5,Compute,EBS
C5 High-CPU 18xlarge,c5.18xlarge,144,281,72,0,0,3.903,Intel Xeon Platinum 8124M,3.0 Ghz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,25 Gigabit,14000.0 Mbps,1750.0 MB/s,80000.0 IOPS,Yes,750,15,Yes,Yes,Yes,No,HVM,Yes,3.636,2.501,3.19,2.058,3.16,1.961,6.948,5.813,7.589,6.457,15.012,13.88,33.372,32.24,4.277,3.145,11.7,10.568,30.06,28.928,0,0.27,NA,FALSE,C5,Compute,EBS
M4 General Purpose 16xlarge,m4.16xlarge,256,188,64,0,0,2.938,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,20 Gigabit,10000.0 Mbps,1250.0 MB/s,65000.0 IOPS,No,240,8,Yes,Yes,Yes,No,HVM,Yes,3.712,2.52,3.33,2.1124,3.3,2.0154,6.656,5.464,7.331,5.518,13.824,12.6064,30.144,28.9264,4.2816,3.064,10.88,9.6624,27.2,25.9824,NA,0.27,NA,FALSE,M4,General,EBS
General Purpose GPU Eight Extra Large,p2.8xlarge,488,94,32,8,0,2.938,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,10 Gigabit,5000.0 Mbps,625.0 MB/s,32500.0 IOPS,No,240,8,Yes,Yes,Yes,No,HVM,Yes,NA,NA,7.33,5.044,7.3,4.947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA,FALSE,P2,Accelerated,EBS
U-12TB1 Metal,u-12tb1.metal,12288,0,448,0,0,0,Intel Xeon Scalable (Skylake) processors,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,64-bit,25 Gigabit,14000.0 Mbps,1750.0 MB/s,80000.0 IOPS,No,150,5,No,Yes,Yes,No,Unknown,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,UTB1,Memory,EBS
