Name,API Name,Memory,Compute Units (ECU),vCPUs,GPUs,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Max Bandwidth,EBS Optimized: Throughput,EBS Optimized: Max 16K IOPS,EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,VPC Only,IPv6 Support,Placement Group Support,Linux Virtualization,On EMR,Linux On Demand cost,Linux Reserved cost,RHEL On Demand cost,RHEL Reserved cost,SLES On Demand cost,SLES Reserved cost,Windows On Demand cost,Windows Reserved cost,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,EBS Optimized surcharge,EMR cost,Storage,Burstable,Model Type,Category,StorageType
M5AD 12xlarge,m5ad.12xlarge,192,0,48,0,0,0,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,1800 GiB               (2 * 900 GiB NVMe SSD),Yes,Yes,64-bit,10 Gigabit,5000.0 Mbps,675.0 MB/s,30000.0 IOPS,Yes,240,8,Yes,Yes,Yes,No,Unknown,No,NA,NA,2.602,1.711,2.622,1.641,NA,NA,5.491,4.6,10.44,9.549,22.68,21.789,3.283,2.392,8.232,7.341,20.472,19.581,NA,NA,1800,FALSE,M5AD,General,SSD
I3 High I/O Extra Large,i3.xlarge,30.5,13,4,0,0,3.25,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,Yes,950 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 10 Gigabit,850.0 Mbps,106.25 MB/s,6000.0 IOPS,No,60,4,Yes,Yes,Yes,No,HVM,Yes,0.362,0.248,0.372,0.274,0.412,0.247,0.546,0.432,0.567,0.469,0.976,0.878,1.996,1.898,0.38,0.282,0.792,0.694,1.812,1.714,NA,0.078,950,FALSE,I3,Storage,SSD
C5 High-CPU Double Extra Large,c5d.2xlarge,16,34,8,0,0,4.25,Intel Xeon Platinum 8124M,3.0 Ghz,Yes,Yes,Yes,200 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 10 Gigabit,3500.0 Mbps,437.5 MB/s,20000.0 IOPS,Yes,60,4,Yes,Yes,Yes,No,HVM,Yes,0.46,0.317,0.514,0.372,0.484,0.275,0.828,0.685,0.887,0.745,1.712,1.57,3.752,3.61,0.519,0.377,1.344,1.202,3.384,3.242,NA,0.096,200,FALSE,C5,Compute,SSD
R5AD 12xlarge,r5ad.12xlarge,384,0,48,0,0,0,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,1800 GiB               (2 * 900 GiB NVMe SSD),Yes,Yes,64-bit,10 Gigabit,5000.0 Mbps,625.0 MB/s,30000.0 IOPS,Yes,240,8,Yes,Yes,Yes,No,Unknown,No,NA,NA,3.274,2.121,3.294,2.051,NA,NA,6.163,5.01,11.112,9.959,23.352,22.199,3.955,2.802,8.904,7.751,21.144,19.991,NA,NA,1800,FALSE,R5AD,Memory,SSD
I2 Eight Extra Large,i2.8xlarge,244,104,32,0,0,3.25,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5 GHz,Yes,unknown,Yes,6400 GiB               (8 * 800 GiB SSD),Yes,Yes,64-bit,10 Gigabit,N/A,0 MB/s,0 IOPS,No,240,8,Yes,No,Yes,No,HVM,Yes,NA,NA,6.95,3.522,6.92,3.428,NA,NA,7.942,4.623,9.836,6.142,20.292,16.87,7.365,3.588,10.664,6.888,18.824,15.048,NA,0.27,6400,FALSE,I2,Storage,SSD
C5 High-CPU 9xlarge,c5d.9xlarge,72,141,36,0,0,3.917,Intel Xeon Platinum 8124M,3.0 Ghz,Yes,Yes,Yes,900 GiB               NVMe SSD,Yes,Yes,64-bit,10 Gigabit,7000.0 Mbps,875.0 MB/s,40000.0 IOPS,Yes,240,8,Yes,Yes,Yes,No,HVM,Yes,2.07,1.426,1.858,1.22,1.828,1.123,3.726,3.082,3.992,3.354,7.704,7.066,16.884,16.246,2.336,1.698,6.048,5.41,15.228,14.59,NA,0.27,900,FALSE,C5,Compute,SSD
M5 General Purpose 24xlarge,m5d.24xlarge,384,345,96,0,0,3.594,Intel Xeon Platinum 8175,2.5 GHz,Yes,Yes,Yes,3600 GiB               (4 * 900 GiB NVMe SSD),Yes,Yes,64-bit,25 Gigabit,14000.0 Mbps,1750.0 MB/s,80000.0 IOPS,Yes,750,15,Yes,Yes,Yes,No,HVM,Yes,6.288,4.396,5.554,3.584,5.524,3.487,10.704,8.812,11.462,9.492,21.36,19.39,45.84,43.87,7.046,5.076,16.944,14.974,41.424,39.454,NA,0.27,3600,FALSE,M5,General,SSD
M5AD Large,m5ad.large,8,0,2,0,0,0,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,75 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 10 Gigabit,2120.0 Mbps,265.0 MB/s,16000.0 IOPS,Yes,30,3,Yes,Yes,Yes,No,Unknown,No,NA,NA,0.163,0.126,0.166,0.091,NA,NA,0.263,0.225,0.675,0.638,NA,NA,0.171,0.133,0.583,0.546,NA,NA,NA,NA,75,FALSE,M5AD,General,SSD
C5 High-CPU Quadruple Extra Large,c5d.4xlarge,32,68,16,0,0,4.25,Intel Xeon Platinum 8124M,3.0 Ghz,Yes,Yes,Yes,400 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 10 Gigabit,3500.0 Mbps,437.5 MB/s,20000.0 IOPS,Yes,240,8,Yes,Yes,Yes,No,HVM,Yes,0.92,0.634,0.898,0.614,0.868,0.517,1.656,1.37,1.774,1.491,3.424,3.14,7.504,7.22,1.038,0.755,2.688,2.404,6.768,6.484,NA,0.192,400,FALSE,C5,Compute,SSD
I3 High I/O 16xlarge,i3.16xlarge,488,200,64,0,0,3.125,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,Yes,15200 GiB               (8 * 1900 GiB NVMe SSD),Yes,Yes,64-bit,20 Gigabit,14000.0 Mbps,1750.0 MB/s,65000.0 IOPS,No,750,15,Yes,Yes,Yes,No,HVM,Yes,5.792,3.965,5.122,3.557,5.092,3.46,8.736,6.909,9.063,7.498,15.616,14.051,31.936,30.371,6.074,4.509,12.672,11.107,28.992,27.427,NA,0.27,15200,FALSE,I3,Storage,SSD
R3 High-Memory Double Extra Large,r3.2xlarge,61,26,8,0,0,3.25,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5 GHz,Yes,unknown,Yes,160 GiB               SSD,Yes,Yes,64-bit,High,N/A,0 MB/s,0 IOPS,No,60,4,Yes,No,Yes,No,HVM,Yes,NA,NA,0.795,0.548,0.765,0.451,NA,NA,1.52,1.069,2.74,2.412,4.033,3.789,0.799,0.512,1.624,1.337,3.664,3.377,NA,0.18,160,FALSE,R3,Memory,SSD
F1 16xlarge,f1.16xlarge,976,188,64,0,0,2.938,Intel Xeon E5-2686 v4 (Broadwell),unknown,unknown,unknown,unknown,3760 GiB               (4 * 940 GiB NVMe SSD),Yes,Yes,64-bit,20 Gigabit,14000.0 Mbps,1750.0 MB/s,75000.0 IOPS,No,400,8,No,Yes,Yes,No,HVM,No,NA,NA,13.33,9.055,13.3,8.958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3760,FALSE,F1,Accelerated,SSD
R5D Quadruple Extra Large,r5d.4xlarge,128,71,16,0,0,4.438,Intel Xeon Platinum 8175,unknown,unknown,unknown,unknown,600 GiB               (2 * 300 GiB NVMe SSD),Yes,Yes,64-bit,10 Gigabit,3500.0 Mbps,437.5 MB/s,18750.0 IOPS,Yes,240,8,No,Yes,Yes,No,HVM,Yes,1.352,0.861,1.282,0.857,1.302,0.787,2.088,1.597,2.158,1.733,3.808,3.383,7.888,7.463,1.422,0.997,3.072,2.647,7.152,6.727,NA,0.27,600,FALSE,R5D,Memory,SSD
M5 General Purpose Large,m5d.large,8,8,2,0,0,4,Intel Xeon Platinum 8175,2.5 GHz,Yes,Yes,Yes,75 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 10 Gigabit,3500.0 Mbps,437.5 MB/s,18750.0 IOPS,Yes,30,3,Yes,Yes,Yes,No,HVM,No,0.131,0.092,0.173,0.132,0.213,0.105,0.223,0.184,0.273,0.232,0.685,0.644,NA,NA,0.181,0.14,0.593,0.552,NA,NA,NA,NA,75,FALSE,M5,General,SSD
M5AD Quadruple Extra Large,m5ad.4xlarge,64,0,16,0,0,0,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,600 GiB               (2 * 300 GiB NVMe SSD),Yes,Yes,64-bit,Up to 10 Gigabit,2120.0 Mbps,265.0 MB/s,16000.0 IOPS,Yes,240,8,Yes,Yes,Yes,No,Unknown,No,NA,NA,0.954,0.657,0.974,0.587,NA,NA,1.83,1.533,3.48,3.183,7.56,7.263,1.094,0.797,2.744,2.447,6.824,6.527,NA,NA,600,FALSE,M5AD,General,SSD
I3EN Extra Large,i3en.xlarge,32,0,4,0,0,0,Intel Xeon Platinum 8175,3.1 GHz,unknown,unknown,unknown,2500 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 25 Gigabit,3500.0 Mbps,437.5 MB/s,20000.0 IOPS,Yes,60,4,Yes,Yes,Yes,No,Unknown,No,NA,NA,0.512,0.368,0.577,0.358,NA,NA,0.704,0.559,1.116,0.972,2.136,1.992,0.52,0.375,0.932,0.788,1.952,1.808,NA,NA,2500,FALSE,I3EN,Storage,SSD
C5 High-CPU Extra Large,c5d.xlarge,8,17,4,0,0,4.25,Intel Xeon Platinum 8124M,3.0 Ghz,Yes,Yes,Yes,100 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 10 Gigabit,3500.0 Mbps,437.5 MB/s,20000.0 IOPS,Yes,60,4,Yes,Yes,Yes,No,HVM,Yes,0.23,0.158,0.252,0.181,0.292,0.154,0.414,0.342,0.444,0.373,0.856,0.785,1.876,1.805,0.26,0.189,0.672,0.601,1.692,1.621,NA,0.048,100,FALSE,C5,Compute,SSD
I3 High I/O Double Extra Large,i3.2xlarge,61,27,8,0,0,3.375,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,Yes,1900 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 10 Gigabit,1700.0 Mbps,212.5 MB/s,12000.0 IOPS,No,60,4,Yes,Yes,Yes,No,HVM,Yes,0.724,0.496,0.754,0.558,0.724,0.461,1.092,0.864,1.133,0.937,1.952,1.756,3.992,3.796,0.759,0.564,1.584,1.388,3.624,3.428,NA,0.156,1900,FALSE,I3,Storage,SSD
I3EN Double Extra Large,i3en.2xlarge,64,0,8,0,0,0,Intel Xeon Platinum 8175,3.1 GHz,unknown,unknown,unknown,5000 GiB               (2 * 2500 GiB NVMe SSD),Yes,Yes,64-bit,Up to 25 Gigabit,3500.0 Mbps,437.5 MB/s,20000.0 IOPS,Yes,60,4,Yes,Yes,Yes,No,Unknown,No,NA,NA,1.034,0.746,1.054,0.676,NA,NA,1.407,1.119,2.232,1.944,4.272,3.984,1.039,0.751,1.864,1.576,3.904,3.616,NA,NA,5000,FALSE,I3EN,Storage,SSD
F1 Double Extra Large,f1.2xlarge,122,26,8,0,0,3.25,Intel Xeon E5-2686 v4 (Broadwell),unknown,unknown,unknown,unknown,470 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 10 Gigabit,1700.0 Mbps,212.5 MB/s,12000.0 IOPS,No,60,4,No,Yes,Yes,No,HVM,No,NA,NA,1.78,1.246,1.75,1.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470,FALSE,F1,Accelerated,SSD
M5AD Double Extra Large,m5ad.2xlarge,32,0,8,0,0,0,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,300 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 10 Gigabit,2120.0 Mbps,265.0 MB/s,16000.0 IOPS,Yes,60,4,Yes,Yes,Yes,No,Unknown,No,NA,NA,0.542,0.393,0.562,0.323,NA,NA,0.915,0.767,1.74,1.591,3.78,3.631,0.547,0.399,1.372,1.223,3.412,3.263,NA,NA,300,FALSE,M5AD,General,SSD
Z1D Large,z1d.large,16,15,2,0,0,7.5,Intel Xeon Platinum 8151,4.0 GHz,unknown,unknown,unknown,75 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 10 Gigabit,2333.0 Mbps,291.0 MB/s,13333.0 IOPS,Yes,30,3,No,Yes,Yes,No,HVM,No,0.22,0.14,0.246,0.178,0.249,0.143,0.312,0.232,0.346,0.277,0.758,0.69,NA,NA,0.254,0.185,0.666,0.598,NA,NA,NA,NA,75,FALSE,Z1D,Memory,SSD
M5AD 24xlarge,m5ad.24xlarge,384,0,96,0,0,0,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,3600 GiB               (4 * 900 GiB NVMe SSD),Yes,Yes,64-bit,20 Gigabit,10000.0 Mbps,1250.0 MB/s,60000.0 IOPS,Yes,750,15,Yes,Yes,Yes,No,Unknown,No,NA,NA,5.074,3.291,5.094,3.221,NA,NA,10.982,9.2,20.88,19.097,45.36,43.577,6.566,4.784,16.464,14.681,40.944,39.161,NA,NA,3600,FALSE,M5AD,General,SSD
M5 General Purpose 12xlarge,m5d.12xlarge,192,173,48,0,0,3.604,Intel Xeon Platinum 8175,2.5 GHz,Yes,Yes,Yes,1800 GiB               (2 * 900 GiB NVMe SSD),Yes,Yes,64-bit,10 Gigabit,7000.0 Mbps,875.0 MB/s,40000.0 IOPS,Yes,240,8,Yes,Yes,Yes,No,HVM,Yes,3.144,2.198,2.842,1.857,2.812,1.76,5.352,4.406,5.731,4.746,10.68,9.695,22.92,21.935,3.523,2.538,8.472,7.487,20.712,19.727,NA,0.27,1800,FALSE,M5,General,SSD
I3EN 12xlarge,i3en.12xlarge,384,0,48,0,0,0,Intel Xeon Platinum 8175,3.1 GHz,unknown,unknown,unknown,30000 GiB               (4 * 7500 GiB NVMe SSD),Yes,Yes,64-bit,50 Gigabit,7000.0 Mbps,875.0 MB/s,40000.0 IOPS,Yes,240,8,Yes,Yes,Yes,No,Unknown,No,NA,NA,5.554,3.824,5.574,3.754,NA,NA,8.443,6.713,13.392,11.662,25.632,23.902,6.235,4.505,11.184,9.454,23.424,21.694,NA,NA,30000,FALSE,I3EN,Storage,SSD
R5D Large,r5d.large,16,10,2,0,0,5,Intel Xeon Platinum 8175,unknown,unknown,unknown,unknown,75 GiB               NVMe SSD,Yes,Yes,64-bit,10 Gigabit,3500.0 Mbps,437.5 MB/s,18750.0 IOPS,Yes,30,3,No,Yes,Yes,No,HVM,No,0.169,0.108,0.204,0.151,0.207,0.116,0.261,0.2,0.304,0.25,0.716,0.663,NA,NA,0.212,0.158,0.624,0.571,NA,NA,NA,NA,75,FALSE,R5D,Memory,SSD
R5D 12xlarge,r5d.12xlarge,384,173,48,0,0,3.604,Intel Xeon Platinum 8175,unknown,unknown,unknown,unknown,1800 GiB               (2 * 900 GiB NVMe SSD),Yes,Yes,64-bit,10 Gigabit,7000.0 Mbps,875.0 MB/s,40000.0 IOPS,Yes,240,8,No,Yes,Yes,No,HVM,Yes,4.056,2.584,3.586,2.311,3.606,2.241,6.264,4.792,6.475,5.2,11.424,10.149,23.664,22.389,4.267,2.992,9.216,7.941,21.456,20.181,NA,0.27,1800,FALSE,R5D,Memory,SSD
M5 General Purpose Extra Large,m5d.xlarge,16,16,4,0,0,4,Intel Xeon Platinum 8175,2.5 GHz,Yes,Yes,Yes,150 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 10 Gigabit,3500.0 Mbps,437.5 MB/s,18750.0 IOPS,Yes,60,4,Yes,Yes,Yes,No,HVM,Yes,0.262,0.183,0.286,0.204,0.326,0.177,0.446,0.367,0.478,0.396,0.89,0.808,1.91,1.828,0.294,0.212,0.706,0.624,1.726,1.644,NA,0.057,150,FALSE,M5,General,SSD
R3 High-Memory Eight Extra Large,r3.8xlarge,244,104,32,0,0,3.25,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5 GHz,Yes,unknown,Yes,640 GiB               (2 * 320 GiB SSD),Yes,Yes,64-bit,10 Gigabit,N/A,0 MB/s,0 IOPS,No,240,8,Yes,No,Yes,No,HVM,Yes,NA,NA,2.79,1.802,2.76,1.705,NA,NA,3.855,2.717,8.615,7.594,16.132,15.158,3.197,2.048,6.496,5.347,14.656,13.507,NA,0.27,640,FALSE,R3,Memory,SSD
R5AD Quadruple Extra Large,r5ad.4xlarge,128,0,16,0,0,0,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,600 GiB               (2 * 300 GiB NVMe SSD),Yes,Yes,64-bit,10 Gigabit,2210.0 Mbps,265.0 MB/s,16000.0 IOPS,Yes,240,8,Yes,Yes,Yes,No,Unknown,No,NA,NA,1.178,0.794,1.198,0.724,NA,NA,2.054,1.67,3.704,3.32,7.784,7.4,1.318,0.934,2.968,2.584,7.048,6.664,NA,NA,600,FALSE,R5AD,Memory,SSD
C5 High-CPU 18xlarge,c5d.18xlarge,144,281,72,0,0,3.903,Intel Xeon Platinum 8124M,3.0 Ghz,Yes,Yes,Yes,1800 GiB               (2 * 900 GiB NVMe SSD),Yes,Yes,64-bit,25 Gigabit,14000.0 Mbps,1750.0 MB/s,80000.0 IOPS,Yes,750,15,Yes,Yes,Yes,No,HVM,Yes,4.14,2.853,3.586,2.31,3.556,2.213,7.452,6.165,7.985,6.709,15.408,14.132,33.768,32.492,4.673,3.397,12.096,10.82,30.456,29.18,NA,0.27,1800,FALSE,C5,Compute,SSD
M5 General Purpose Metal,m5d.metal,384,345,96,0,0,3.594,Intel Xeon Platinum 8175,2.5 GHz,Yes,Yes,Yes,3600 GiB               (4 * 900 GiB NVMe SSD),Yes,Yes,64-bit,25 Gigabit,14000.0 Mbps,1750.0 MB/s,80000.0 IOPS,Yes,750,15,Yes,Yes,Yes,No,HVM,No,6.288,4.396,5.554,3.584,5.524,3.487,10.704,8.812,11.462,9.492,21.36,19.39,45.84,43.87,7.046,5.076,16.944,14.974,41.424,39.454,NA,NA,3600,FALSE,M5,General,SSD
Z1D 12xlarge,z1d.12xlarge,384,271,48,0,0,5.646,Intel Xeon Platinum 8151,unknown,unknown,unknown,unknown,1800 GiB               (2 * 900 GiB NVMe SSD),Yes,Yes,64-bit,25 Gigabit,14000.0 Mbps,1750.0 MB/s,80000.0 IOPS,Yes,750,15,No,Yes,Yes,No,HVM,Yes,5.273,3.366,4.594,2.952,4.614,2.882,7.481,5.574,7.483,5.841,12.432,10.79,24.672,23.03,5.275,3.633,10.224,8.582,22.464,20.822,NA,0.27,1800,FALSE,Z1D,Memory,SSD
R5D Double Extra Large,r5d.2xlarge,64,38,8,0,0,4.75,Intel Xeon Platinum 8175,unknown,unknown,unknown,unknown,300 GiB               NVMe SSD,Yes,Yes,64-bit,10 Gigabit,3500.0 Mbps,437.5 MB/s,18750.0 IOPS,Yes,60,4,No,Yes,Yes,No,HVM,Yes,0.676,0.431,0.706,0.494,0.726,0.424,1.044,0.799,1.079,0.867,1.904,1.692,3.944,3.732,0.711,0.499,1.536,1.324,3.576,3.364,NA,0.144,300,FALSE,R5D,Memory,SSD
Z1D Metal,z1d.metal,384,271,48,0,0,5.646,Intel Xeon Platinum 8151,unknown,unknown,unknown,unknown,1800 GiB               (2 * 900 GiB NVMe SSD),Yes,Yes,64-bit,25 Gigabit,14000.0 Mbps,1750.0 MB/s,80000.0 IOPS,Yes,750,15,No,Yes,Yes,No,HVM,No,5.273,3.366,4.594,2.952,4.614,2.882,7.481,5.574,7.483,5.841,12.432,10.79,24.672,23.03,5.275,3.633,10.224,8.582,22.464,20.822,NA,NA,1800,FALSE,Z1D,Memory,SSD
I2 Quadruple Extra Large,i2.4xlarge,122,53,16,0,0,3.312,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5 GHz,Yes,unknown,Yes,3200 GiB               (4 * 800 GiB SSD),Yes,Yes,64-bit,High,N/A,0 MB/s,0 IOPS,No,240,8,Yes,No,Yes,No,HVM,Yes,NA,NA,3.54,1.826,3.51,1.732,NA,NA,3.971,2.311,4.918,3.071,10.146,8.435,3.682,1.794,5.332,3.444,9.412,7.524,NA,0.27,3200,FALSE,I2,Storage,SSD
Z1D 3xlarge,z1d.3xlarge,96,75,12,0,0,6.25,Intel Xeon Platinum 8151,unknown,unknown,unknown,unknown,450 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 10 Gigabit,3500.0 Mbps,438.0 MB/s,20000.0 IOPS,Yes,240,8,No,Yes,Yes,No,HVM,Yes,1.318,0.842,1.246,0.835,1.266,0.765,1.87,1.394,1.871,1.46,3.108,2.697,6.168,5.757,1.319,0.908,2.556,2.145,5.616,5.205,NA,0.27,450,FALSE,Z1D,Memory,SSD
I2 Double Extra Large,i2.2xlarge,61,27,8,0,0,3.375,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5 GHz,Yes,unknown,Yes,1600 GiB               (2 * 800 GiB SSD),Yes,Yes,64-bit,High,N/A,0 MB/s,0 IOPS,No,60,4,Yes,No,Yes,No,HVM,Yes,NA,NA,1.835,0.978,1.805,0.884,NA,NA,1.986,1.155,2.459,1.536,5.073,4.218,1.841,0.897,2.666,1.722,4.706,3.762,NA,0.27,1600,FALSE,I2,Storage,SSD
M5 General Purpose Double Extra Large,m5d.2xlarge,32,31,8,0,0,3.875,Intel Xeon Platinum 8175,2.5 GHz,Yes,Yes,Yes,300 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 10 Gigabit,3500.0 Mbps,437.5 MB/s,18750.0 IOPS,Yes,60,4,Yes,Yes,Yes,No,HVM,Yes,0.524,0.366,0.582,0.418,0.552,0.321,0.892,0.734,0.955,0.791,1.78,1.616,3.82,3.656,0.587,0.423,1.412,1.248,3.452,3.288,NA,0.113,300,FALSE,M5,General,SSD
I3 High I/O Eight Extra Large,i3.8xlarge,244,99,32,0,0,3.094,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,Yes,7600 GiB               (4 * 1900 GiB NVMe SSD),Yes,Yes,64-bit,10 Gigabit,7000.0 Mbps,875.0 MB/s,32500.0 IOPS,No,240,8,Yes,Yes,Yes,No,HVM,Yes,2.896,1.982,2.626,1.844,2.596,1.747,4.368,3.454,4.532,3.75,7.808,7.026,15.968,15.186,3.037,2.254,6.336,5.554,14.496,13.714,NA,0.27,7600,FALSE,I3,Storage,SSD
